type,X_position,Y_position,Structure,NPHS2 Normalized Expression
Collecting duct,14979.63086,34301.1875,0.850061719,9.915894177
Collecting duct,14009.23438,25684.08594,1.129973188,7.454256112
Collecting duct,5681.730957,34546.71484,0.922345167,8.199681723
Collecting duct,15193.03809,31978.75,1.135086083,6.377530229
Collecting duct,11949.53027,18628.91992,0.87456204,5.96340489
Collecting duct,12115.06055,13689.83984,0.84700861,8.199681723
Cortical filtration membrane,22603,45408,2.142001767,227.7689368
Cortical filtration membrane,24392,40299,1.868133335,231.9338545
Cortical filtration membrane,25466,30717,1.831146967,289.03878079
Cortical filtration membrane,24720,28815,2.12367134,310.4165224
Cortical filtration membrane,22203,15963,1.986081781,354.9979852
Cortical filtration membrane,27087,25017,2.166758903,280.6113301
Cortical glomerulus,26851,28361,2.748027263,213.1917248
Cortical glomerulus,24346,17722,2.908904091,309.537985
Cortical glomerulus,26084,23659,3.080723065,239.8406904
Cortical glomerulus,26243,37434,3.153688339,177.1131252
Cortical glomerulus,26129,34193,2.928777146,241.8906108
Cortical glomerulus,24503,45405,2.806183685,257.7042827
Cortical glomerulus,25820,20064,3.235432064,234.7698346
Cortical glomerulus,22380,12822,3.050688486,219.5398655
Cortical glomerulus,22265,10657,2.835466403,257.4700061
Cortical glomerulus,20699,11488,3.127350163,215.2416452
Cortical glomerulus,24683,20153,2.918733635,229.5910882
Cortical glomerulus3,22899,42184,2.819018685,233.0076223
Distal convoluted tubule,21243,10523,4.08763349,8.199681723
Distal convoluted tubule,27190.16016,32208.08594,4.042544156,4.685532413
Distal convoluted tubule,27908.96484,29119.44141,4.007859416,6.065517987
Distal convoluted tubule,21749.88672,19472.33984,4.145622835,11.71383103
Distal convoluted tubule,22428.17773,25013.04297,3.972995073,6.473432939
Distal convoluted tubule,26584.99414,40255.90234,3.770743823,5.59978264
Juxtamedullary filtration membrane,18849,32808,4.814652595,351.8408885
Juxtamedullary filtration membrane,18796,21810,5.040051801,377.1853593
Juxtamedullary filtration membrane,6932,42592,5.003794502,280.9757604
Juxtamedullary filtration membrane,22383,33147,5.086143593,355.8661868
Juxtamedullary filtration membrane,19649,25297,5.145227027,327.9872689
Juxtamedullary filtration membrane,18419,18916,5.387652063,351.5167904
Juxtamedullary glomerulus,20175,23437,5.83674389,223.2836408
Juxtamedullary glomerulus,17405,14853,6.138442592,272.4817311
Juxtamedullary glomerulus,20110,35442,6.184597982,219.9444039
Juxtamedullary glomerulus,10619,40266,6.096555527,397.2290257
Juxtamedullary glomerulus,6482,40414,5.851229061,276.0559513
Juxtamedullary glomerulus,5257,39912,5.842373521,265.1230424
Juxtamedullary glomerulus,16654,38311,5.958359521,229.5910882
Juxtamedullary glomerulus,20360,36848,6.192660379,244.4996005
Juxtamedullary glomerulus,17592,22631,6.054508036,278.7891786
Juxtamedullary glomerulus,17998,20714,5.81138127,351.414931
Juxtamedullary glomerulus,15352,19533,6.247999845,313.6378259
Juxtamedullary glomerulus,11209,43248,6.153900259,231.2310246
Loop of Henle,4875.396973,29559.11328,7.119708995,5.466454482
Loop of Henle,5312.818359,31624.17188,7.077789461,5.466454482
Loop of Henle,5641.774414,26938.92383,6.997777511,5.96340489
Loop of Henle,7396.575195,17003.01172,6.908919255,9.269205426
Loop of Henle,4584.456055,20115.94141,7.033313836,7.613990171
Loop of Henle,7311.902832,32418.91797,7.02725269,8.199681723
Proximal convoluted tubule,17306.33398,40233.23828,7.936669262,10.28019798
Proximal convoluted tubule,18649,42793,7.901651029,13.11949076
Proximal convoluted tubule,16782,43300,8.087515292,12.4727553
Proximal convoluted tubule,21063,12979,8.103288556,10.17891524
Proximal convoluted tubule,20593,14595,8.051360608,10.58023448
Proximal convoluted tubule,23468,15391,7.758152027,9.566295344
